country,year,ntl_sum,ntl_lit,sensor
PRT,2015,1658095.0,64013,VIIRSsim
MDA,2015,54404.0,1936,VIIRSsim
MLT,2015,22948.0,464,VIIRSsim
CYP,2016,99935.0,3757,VIIRSsim
FRA,2016,6039142.0,217485,VIIRSsim
UKR,2016,1491081.0,52708,VIIRSsim
BLR,2016,645703.0,20698,VIIRSsim
LTU,2016,274930.0,9081,VIIRSsim
CZE,2016,1029292.0,38396,VIIRSsim
DEU,2016,4300647.0,161464,VIIRSsim
EST,2016,373108.0,11495,VIIRSsim
LVA,2016,261199.0,8423,VIIRSsim
SWE,2016,3378152.0,105921,VIIRSsim
FIN,2016,3508359.0,105505,VIIRSsim
LUX,2016,88456.0,3265,VIIRSsim
BEL,2016,1447216.0,43189,VIIRSsim
GEO,2016,220639.0,10419,VIIRSsim
AZE,2016,393627.0,18218,VIIRSsim
ESP,2016,4947566.0,179816,VIIRSsim
ARM,2016,58777.0,2799,VIIRSsim
DNK,2016,413411.0,14630,VIIRSsim
ROU,2016,1022183.0,40208,VIIRSsim
HUN,2016,598478.0,21711,VIIRSsim
SVK,2016,368242.0,13975,VIIRSsim
POL,2016,3994347.0,135801,VIIRSsim
IRL,2016,451984.0,15407,VIIRSsim
GRC,2016,1057591.0,46672,VIIRSsim
AUT,2016,529682.0,21633,VIIRSsim
ITA,2016,7882844.0,278083,VIIRSsim
NLD,2016,1392034.0,41921,VIIRSsim
HRV,2016,525782.0,22015,VIIRSsim
SVN,2016,158823.0,6805,VIIRSsim
BGR,2016,477719.0,20983,VIIRSsim
PRT,2016,1678310.0,62863,VIIRSsim
MDA,2016,62103.0,2145,VIIRSsim
MLT,2016,22601.0,464,VIIRSsim
CYP,2017,124456.0,5725,VIIRSsim
FRA,2017,7313715.0,289691,VIIRSsim
UKR,2017,1985443.0,61777,VIIRSsim
BLR,2017,608803.0,18140,VIIRSsim
LTU,2017,289275.0,9145,VIIRSsim
CZE,2017,1458892.0,51252,VIIRSsim
DEU,2017,5687482.0,199017,VIIRSsim
EST,2017,299201.0,8648,VIIRSsim
LVA,2017,251205.0,8196,VIIRSsim
SWE,2017,3369599.0,102975,VIIRSsim
FIN,2017,3383762.0,101934,VIIRSsim
LUX,2017,95543.0,3713,VIIRSsim
BEL,2017,1499183.0,44589,VIIRSsim
GEO,2017,380450.0,25661,VIIRSsim
AZE,2017,604231.0,41823,VIIRSsim
ESP,2017,6410206.0,306732,VIIRSsim
ARM,2017,117068.0,8065,VIIRSsim
DNK,2017,464119.0,15326,VIIRSsim
ROU,2017,1600928.0,77206,VIIRSsim
HUN,2017,863876.0,28713,VIIRSsim
SVK,2017,517977.0,18225,VIIRSsim
POL,2017,4883092.0,158486,VIIRSsim
IRL,2017,544379.0,16251,VIIRSsim
GRC,2017,1602773.0,92280,VIIRSsim
