var,country,year,wb
gdp_per_capita,NLD,2014,53457.2234864322
gdp_per_capita,NLD,2013,52602.2860520766
gdp_per_capita,NLD,2012,50473.9442002689
gdp_per_capita,NLD,2011,54701.7728030611
gdp_per_capita,NLD,2010,51305.7338533973
gdp_per_capita,POL,2024,25103.565661423
gdp_per_capita,POL,2023,22145.2660647429
gdp_per_capita,POL,2022,18891.2121169279
gdp_per_capita,POL,2021,18635.5104895754
gdp_per_capita,POL,2020,16150.9304813473
gdp_per_capita,POL,2019,15874.5220531254
gdp_per_capita,POL,2018,15658.210586693
gdp_per_capita,POL,2017,13913.3415190124
gdp_per_capita,POL,2016,12464.0121044827
gdp_per_capita,POL,2015,12637.5220324406
gdp_per_capita,POL,2014,14262.2841914116
gdp_per_capita,POL,2013,13621.9023794031
gdp_per_capita,POL,2012,13087.420943321
gdp_per_capita,POL,2011,13867.6669408192
gdp_per_capita,POL,2010,12567.7317676382
gdp_per_capita,PRT,2024,29328.3067415343
gdp_per_capita,PRT,2023,27634.6183139773
gdp_per_capita,PRT,2022,24620.5197587181
gdp_per_capita,PRT,2021,24711.4510062111
gdp_per_capita,PRT,2020,22299.4044062173
gdp_per_capita,PRT,2019,23343.3628970034
gdp_per_capita,PRT,2018,23541.1401075289
gdp_per_capita,PRT,2017,21442.3842768879
gdp_per_capita,PRT,2016,19980.2808866516
gdp_per_capita,PRT,2015,19215.7813014347
gdp_per_capita,PRT,2014,22120.6850127107
gdp_per_capita,PRT,2013,21676.4859642714
gdp_per_capita,PRT,2012,20593.4274224109
gdp_per_capita,PRT,2011,23246.5425416481
gdp_per_capita,PRT,2010,22551.935098809
gdp_per_capita,ROU,2024,20080.2096215595
gdp_per_capita,ROU,2023,18244.4186876321
gdp_per_capita,ROU,2022,15503.4691366242
gdp_per_capita,ROU,2021,14908.0412813921
gdp_per_capita,ROU,2020,13009.1525348396
gdp_per_capita,ROU,2019,12909.6104013244
gdp_per_capita,ROU,2018,12416.134317959
gdp_per_capita,ROU,2017,10727.9822007426
gdp_per_capita,ROU,2016,9404.54005870715
gdp_per_capita,ROU,2015,8977.01748158196
gdp_per_capita,ROU,2014,10031.7710755404
gdp_per_capita,ROU,2013,9497.67411615237
gdp_per_capita,ROU,2012,8929.95366231474
gdp_per_capita,ROU,2011,9560.6755277458
gdp_per_capita,ROU,2010,8399.5374234284
gdp_per_capita,SVK,2024,25992.6748502048
gdp_per_capita,SVK,2023,24614.8734642794
gdp_per_capita,SVK,2022,21317.7943982363
gdp_per_capita,SVK,2021,22123.3342114545
gdp_per_capita,SVK,2020,19735.4858280801
gdp_per_capita,SVK,2019,19406.0589683582
gdp_per_capita,SVK,2018,19573.3717031314
gdp_per_capita,SVK,2017,17645.5298716761
gdp_per_capita,SVK,2016,16636.0769133073
gdp_per_capita,SVK,2015,16442.0760860018
gdp_per_capita,SVK,2014,18770.9289896545
gdp_per_capita,SVK,2013,18312.7805149823
gdp_per_capita,SVK,2012,17516.9691054078
gdp_per_capita,SVK,2011,18469.4354316836
gdp_per_capita,SVK,2010,16899.448680529
gdp_per_capita,SVN,2024,34301.0318686594
gdp_per_capita,SVN,2023,32660.4753581346
gdp_per_capita,SVN,2022,28360.3041467268
gdp_per_capita,SVN,2021,29192.8401933019
gdp_per_capita,SVN,2020,25392.0651093612
gdp_per_capita,SVN,2019,25814.1687167572
gdp_per_capita,SVN,2018,25888.0481065655
gdp_per_capita,SVN,2017,23303.077705959
gdp_per_capita,SVN,2016,21447.8377796036
gdp_per_capita,SVN,2015,20697.2748530619
gdp_per_capita,SVN,2014,24013.0682060959
gdp_per_capita,SVN,2013,23236.9655321695
gdp_per_capita,SVN,2012,22442.1417859955
gdp_per_capita,SVN,2011,24940.6284841605
gdp_per_capita,SVN,2010,23329.8417691156
gdp_per_capita,SWE,2024,57222.7100565003
gdp_per_capita,SWE,2023,54950.2834725622
gdp_per_capita,SWE,2022,54836.8907235124
gdp_per_capita,SWE,2021,60647.5416365347
gdp_per_capita,SWE,2020,52568.5726980146
gdp_per_capita,SWE,2019,51648.9892820514
gdp_per_capita,SWE,2018,54018.4554391861
gdp_per_capita,SWE,2017,53210.2233318965
gdp_per_capita,SWE,2016,51703.5088332851
gdp_per_capita,SWE,2015,51188.1652120493
gdp_per_capita,SWE,2014,59583.4584491714
gdp_per_capita,SWE,2013,60843.9888799369
gdp_per_capita,SWE,2012,57749.5615420853
gdp_per_capita,SWE,2011,60379.4814599322
gdp_per_capita,SWE,2010,52542.5759090299
gdp_per_capita,UKR,2024,5391.62255859375
gdp_per_capita,UKR,2023,5139.59814453125
gdp_per_capita,UKR,2022,4199.6708984375
gdp_per_capita,UKR,2021,4775.94580078125
gdp_per_capita,UKR,2020,3709.76928710938
gdp_per_capita,UKR,2019,3619.86157226563
gdp_per_capita,UKR,2018,3059.0517578125
gdp_per_capita,UKR,2017,2604.28759765625
gdp_per_capita,UKR,2016,2158.46118164063
gdp_per_capita,UKR,2015,2094.47387695313
gdp_per_capita,UKR,2014,3054.908203125
gdp_per_capita,UKR,2013,4129.89697265625
gdp_per_capita,UKR,2012,3951.34228515625
gdp_per_capita,UKR,2011,3656.69799804688
gdp_per_capita,UKR,2010,3039.63232421875
urban_population_pct,ARM,2024,65.8113671449901
urban_population_pct,ARM,2023,65.6956882008852
urban_population_pct,ARM,2022,65.5624462874485
urban_population_pct,ARM,2021,65.3572875314441
urban_population_pct,ARM,2020,65.174217253699
urban_population_pct,ARM,2019,65.0047033570428
urban_population_pct,ARM,2018,64.8502833795679
urban_population_pct,ARM,2017,64.7124948593667
urban_population_pct,ARM,2016,64.5928753345316
urban_population_pct,ARM,2015,64.4929623431549
urban_population_pct,ARM,2014,64.4142934233291
urban_population_pct,ARM,2013,64.3584061131466
urban_population_pct,ARM,2012,64.3268379506998
urban_population_pct,ARM,2011,64.3207449145194
urban_population_pct,ARM,2010,64.3304164043132
urban_population_pct,AUT,2024,69.4658181096788
urban_population_pct,AUT,2023,69.2265358276021
urban_population_pct,AUT,2022,68.998085127906
urban_population_pct,AUT,2021,68.773601700253
urban_population_pct,AUT,2020,68.5410177924001
urban_population_pct,AUT,2019,68.3176044750522
urban_population_pct,AUT,2018,68.1046787227623
urban_population_pct,AUT,2017,67.9051196052802
urban_population_pct,AUT,2016,67.7218061923556
urban_population_pct,AUT,2015,67.5576175537383
urban_population_pct,AUT,2014,67.4154327591781
urban_population_pct,AUT,2013,67.2981308784247
urban_population_pct,AUT,2012,67.2085909812279
urban_population_pct,AUT,2011,67.1484255415056
urban_population_pct,AUT,2010,67.1047429254747
urban_population_pct,AZE,2024,58.573795837717
urban_population_pct,AZE,2023,58.5075350483702
urban_population_pct,AZE,2022,58.4382815854684
urban_population_pct,AZE,2021,58.3659969744818
urban_population_pct,AZE,2020,58.2934691761937
urban_population_pct,AZE,2019,58.1308191977779
urban_population_pct,AZE,2018,57.1841534654123
urban_population_pct,AZE,2017,56.4331887124691
urban_population_pct,AZE,2016,55.7574797205266
urban_population_pct,AZE,2015,55.1570486328276
urban_population_pct,AZE,2014,54.6319175926151
urban_population_pct,AZE,2013,54.1821087431318
urban_population_pct,AZE,2012,53.8076442276208
urban_population_pct,AZE,2011,53.5085461893249
urban_population_pct,AZE,2010,53.2848367714869
urban_population_pct,BEL,2024,87.6126557010527
urban_population_pct,BEL,2023,87.551492636772
urban_population_pct,BEL,2022,87.489200269855
urban_population_pct,BEL,2021,87.4305564090635
urban_population_pct,BEL,2020,87.2964994991269
urban_population_pct,BEL,2019,87.0961631189222
urban_population_pct,BEL,2018,86.8883449485575
urban_population_pct,BEL,2017,86.6731739531869
urban_population_pct,BEL,2016,86.4507790979645
urban_population_pct,BEL,2015,86.2212893480444
urban_population_pct,BEL,2014,85.9848336685807
urban_population_pct,BEL,2013,85.7415410247275
urban_population_pct,BEL,2012,85.4915403816388
urban_population_pct,BEL,2011,85.2349607044689
urban_population_pct,BEL,2010,84.9719309583717
urban_population_pct,BGR,2024,73.9499356882481
urban_population_pct,BGR,2023,73.7322671584613
urban_population_pct,BGR,2022,73.4799164005224
urban_population_pct,BGR,2021,73.346765618041
urban_population_pct,BGR,2020,73.3239898681641
urban_population_pct,BGR,2019,73.7162322998047
urban_population_pct,BGR,2018,73.600212097168
urban_population_pct,BGR,2017,73.3904571533203
urban_population_pct,BGR,2016,73.1750030517578
urban_population_pct,BGR,2015,73.1030578613281
urban_population_pct,BGR,2014,73.0844879150391
urban_population_pct,BGR,2013,72.9632821572019
urban_population_pct,BGR,2012,72.7684860229492
urban_population_pct,BGR,2011,72.6101653885532
urban_population_pct,BGR,2010,71.5149307250977
urban_population_pct,BLR,2024,79.1551015210848
urban_population_pct,BLR,2023,78.8146420666327
urban_population_pct,BLR,2022,78.4732787892908
urban_population_pct,BLR,2021,78.131086803694
urban_population_pct,BLR,2020,77.7890385790408
urban_population_pct,BLR,2019,77.4550771852757
urban_population_pct,BLR,2018,77.2132720947266
urban_population_pct,BLR,2017,77.0208206176758
urban_population_pct,BLR,2016,76.8458709716797
urban_population_pct,BLR,2015,76.6263885498047
urban_population_pct,BLR,2014,76.3405227661133
urban_population_pct,BLR,2013,75.94970703125
urban_population_pct,BLR,2012,75.5281066894531
urban_population_pct,BLR,2011,75.0597534179688
urban_population_pct,BLR,2010,74.5501403808594
urban_population_pct,CYP,2024,66.6824259192483
urban_population_pct,CYP,2023,66.6739477522639
urban_population_pct,CYP,2022,66.6694829407584
urban_population_pct,CYP,2021,66.6718365394971
urban_population_pct,CYP,2020,66.7180443478713
urban_population_pct,CYP,2019,66.7677357070518
