ind,country,year,value
IT.NET.BBND.P2,EST,2009,23.5008182668329
IT.NET.BBND.P2,EST,2008,22.0376733075357
IT.NET.BBND.P2,FIN,2025,
IT.NET.BBND.P2,FIN,2024,36.4765341417867
IT.NET.BBND.P2,FIN,2023,35.3318092510781
IT.NET.BBND.P2,FIN,2022,34.2951599474189
IT.NET.BBND.P2,FIN,2021,33.6396818306917
IT.NET.BBND.P2,FIN,2020,33.3838974597133
IT.NET.BBND.P2,FIN,2019,32.5439773811208
IT.NET.BBND.P2,FIN,2018,31.491717515124
IT.NET.BBND.P2,FIN,2017,31.0435197469463
IT.NET.BBND.P2,FIN,2016,31.152937083259
IT.NET.BBND.P2,FIN,2015,31.5690938053918
IT.NET.BBND.P2,FIN,2014,32.1970293411336
IT.NET.BBND.P2,FIN,2013,31.6268291557372
IT.NET.BBND.P2,FIN,2012,30.4323757921866
IT.NET.BBND.P2,FIN,2011,29.8056452931485
IT.NET.BBND.P2,FIN,2010,29.0751116373162
IT.NET.BBND.P2,FIN,2009,29.3246343411397
IT.NET.BBND.P2,FIN,2008,30.4514435922766
IT.NET.BBND.P2,FRA,2025,
IT.NET.BBND.P2,FRA,2024,48.9251978969333
IT.NET.BBND.P2,FRA,2023,48.6688340139444
IT.NET.BBND.P2,FRA,2022,48.250226559098
IT.NET.BBND.P2,FRA,2021,47.6442336298287
IT.NET.BBND.P2,FRA,2020,46.471240838575
IT.NET.BBND.P2,FRA,2019,45.2765022757908
IT.NET.BBND.P2,FRA,2018,44.4142292018123
IT.NET.BBND.P2,FRA,2017,43.6242593525939
IT.NET.BBND.P2,FRA,2016,42.5277884451476
IT.NET.BBND.P2,FRA,2015,41.387117104083
IT.NET.BBND.P2,FRA,2014,40.142215573606
IT.NET.BBND.P2,FRA,2013,38.7340855946258
IT.NET.BBND.P2,FRA,2012,37.4345529509644
IT.NET.BBND.P2,FRA,2011,35.6937891818337
IT.NET.BBND.P2,FRA,2010,33.64535986777
IT.NET.BBND.P2,FRA,2009,31.457950669807
IT.NET.BBND.P2,FRA,2008,28.4006786217117
IT.NET.BBND.P2,GEO,2025,
IT.NET.BBND.P2,GEO,2024,30.4157660721649
IT.NET.BBND.P2,GEO,2023,29.3086367614167
IT.NET.BBND.P2,GEO,2022,28.3337075311796
IT.NET.BBND.P2,GEO,2021,26.6463786914494
IT.NET.BBND.P2,GEO,2020,25.5120429077493
IT.NET.BBND.P2,GEO,2019,24.6806060596483
IT.NET.BBND.P2,GEO,2018,22.5911406351247
IT.NET.BBND.P2,GEO,2017,20.4644306577176
IT.NET.BBND.P2,GEO,2016,17.9595929069632
IT.NET.BBND.P2,GEO,2015,16.7646515047976
IT.NET.BBND.P2,GEO,2014,15.8407410024372
IT.NET.BBND.P2,GEO,2013,13.5708594493486
IT.NET.BBND.P2,GEO,2012,12.0611334421058
IT.NET.BBND.P2,GEO,2011,6.42340988915208
IT.NET.BBND.P2,GEO,2010,4.68263634438548
IT.NET.BBND.P2,GEO,2009,3.82756464054958
IT.NET.BBND.P2,GEO,2008,2.84510154914943
IT.NET.BBND.P2,GRC,2025,
IT.NET.BBND.P2,GRC,2024,44.6759828527928
IT.NET.BBND.P2,GRC,2023,43.8539621755853
IT.NET.BBND.P2,GRC,2022,42.923040428409
IT.NET.BBND.P2,GRC,2021,41.9213046741732
IT.NET.BBND.P2,GRC,2020,39.7876360746134
IT.NET.BBND.P2,GRC,2019,38.3565690069278
IT.NET.BBND.P2,GRC,2018,36.9203391643751
IT.NET.BBND.P2,GRC,2017,35.1351318678243
IT.NET.BBND.P2,GRC,2016,33.5485838991847
IT.NET.BBND.P2,GRC,2015,31.7813956931321
IT.NET.BBND.P2,GRC,2014,28.9729450556431
IT.NET.BBND.P2,GRC,2013,26.5619364050644
IT.NET.BBND.P2,GRC,2012,24.3424643325153
IT.NET.BBND.P2,GRC,2011,22.183064232426
IT.NET.BBND.P2,GRC,2010,20.2491669415812
IT.NET.BBND.P2,GRC,2009,17.2543940805553
IT.NET.BBND.P2,GRC,2008,13.6049238449266
IT.NET.BBND.P2,HRV,2025,
IT.NET.BBND.P2,HRV,2024,29.5997367962687
IT.NET.BBND.P2,HRV,2023,28.4709561519529
IT.NET.BBND.P2,HRV,2022,27.6606739600213
IT.NET.BBND.P2,HRV,2021,26.7157501000099
IT.NET.BBND.P2,HRV,2020,26.0744550144438
IT.NET.BBND.P2,HRV,2019,28.9682951804841
IT.NET.BBND.P2,HRV,2018,28.0156020023514
IT.NET.BBND.P2,HRV,2017,26.865096097274
IT.NET.BBND.P2,HRV,2016,25.2341141328155
IT.NET.BBND.P2,HRV,2015,23.5726310188829
IT.NET.BBND.P2,HRV,2014,23.3319089868678
IT.NET.BBND.P2,HRV,2013,22.5042534905966
IT.NET.BBND.P2,HRV,2012,21.581851768721
IT.NET.BBND.P2,HRV,2011,20.8566154553422
IT.NET.BBND.P2,HRV,2010,19.4799756808943
IT.NET.BBND.P2,HRV,2009,16.6418978640678
IT.NET.BBND.P2,HRV,2008,12.2371762498346
IT.NET.BBND.P2,HUN,2025,
IT.NET.BBND.P2,HUN,2024,37.542262483936
IT.NET.BBND.P2,HUN,2023,36.7901885342462
IT.NET.BBND.P2,HUN,2022,36.5338104764554
IT.NET.BBND.P2,HUN,2021,34.8391868436369
IT.NET.BBND.P2,HUN,2020,33.4922037196533
IT.NET.BBND.P2,HUN,2019,32.6466329851573
IT.NET.BBND.P2,HUN,2018,31.5062908247816
IT.NET.BBND.P2,HUN,2017,30.2136178819417
IT.NET.BBND.P2,HUN,2016,28.6887907811727
IT.NET.BBND.P2,HUN,2015,27.6322359587573
IT.NET.BBND.P2,HUN,2014,26.164233392363
IT.NET.BBND.P2,HUN,2013,26.2621916555453
IT.NET.BBND.P2,HUN,2012,24.1618038721448
IT.NET.BBND.P2,HUN,2011,23.2549245597223
IT.NET.BBND.P2,HUN,2010,21.639373536508
IT.NET.BBND.P2,HUN,2009,19.7645064510111
IT.NET.BBND.P2,HUN,2008,17.6762965927654
IT.NET.BBND.P2,IRL,2025,
IT.NET.BBND.P2,IRL,2024,32.3023693358176
IT.NET.BBND.P2,IRL,2023,31.8907830651788
IT.NET.BBND.P2,IRL,2022,31.5362809040128
IT.NET.BBND.P2,IRL,2021,31.3616427884193
IT.NET.BBND.P2,IRL,2020,30.4353384554187
IT.NET.BBND.P2,IRL,2019,29.6453160652366
IT.NET.BBND.P2,IRL,2018,29.3513301848147
IT.NET.BBND.P2,IRL,2017,29.0794615926246
IT.NET.BBND.P2,IRL,2016,28.6147710435862
IT.NET.BBND.P2,IRL,2015,27.8462651784045
IT.NET.BBND.P2,IRL,2014,27.0221858517779
IT.NET.BBND.P2,IRL,2013,25.7144376937159
IT.NET.BBND.P2,IRL,2012,24.1750019347271
IT.NET.BBND.P2,IRL,2011,23.3814204815178
IT.NET.BBND.P2,IRL,2010,22.3721452573765
IT.NET.BBND.P2,IRL,2009,21.5358272794807
IT.NET.BBND.P2,IRL,2008,19.8672135236767
IT.NET.BBND.P2,ITA,2025,
IT.NET.BBND.P2,ITA,2024,31.7807732477772
IT.NET.BBND.P2,ITA,2023,31.8410876819321
IT.NET.BBND.P2,ITA,2022,31.19136706407
IT.NET.BBND.P2,ITA,2021,31.2852927413407
IT.NET.BBND.P2,ITA,2020,30.2586365187027
IT.NET.BBND.P2,ITA,2019,29.0544644701951
IT.NET.BBND.P2,ITA,2018,28.4648521996575
IT.NET.BBND.P2,ITA,2017,27.4652917045411
IT.NET.BBND.P2,ITA,2016,25.7337403103573
IT.NET.BBND.P2,ITA,2015,24.5977602494059
IT.NET.BBND.P2,ITA,2014,23.7083714537202
IT.NET.BBND.P2,ITA,2013,23.1031860985354
IT.NET.BBND.P2,ITA,2012,22.7375144996784
IT.NET.BBND.P2,ITA,2011,22.393878996579
IT.NET.BBND.P2,ITA,2010,21.7704634480966
IT.NET.BBND.P2,ITA,2009,20.1731687077376
IT.NET.BBND.P2,ITA,2008,18.9320738480128
IT.NET.BBND.P2,LTU,2025,
IT.NET.BBND.P2,LTU,2024,27.8460080234758
IT.NET.BBND.P2,LTU,2023,27.9638162516437
IT.NET.BBND.P2,LTU,2022,28.4400438919259
IT.NET.BBND.P2,LTU,2021,28.712701575387
IT.NET.BBND.P2,LTU,2020,28.4988545174577
IT.NET.BBND.P2,LTU,2019,28.2791627222047
IT.NET.BBND.P2,LTU,2018,28.1444849879285
IT.NET.BBND.P2,LTU,2017,28.2319064734089
IT.NET.BBND.P2,LTU,2016,29.8964138705034
IT.NET.BBND.P2,LTU,2015,28.6774149586821
IT.NET.BBND.P2,LTU,2014,27.337779493026
IT.NET.BBND.P2,LTU,2013,28.2656607039035
IT.NET.BBND.P2,LTU,2012,25.7287935833036
IT.NET.BBND.P2,LTU,2011,24.0272372898481
IT.NET.BBND.P2,LTU,2010,21.9297095928618
IT.NET.BBND.P2,LTU,2009,20.0356658048958
IT.NET.BBND.P2,LTU,2008,18.4494764858694
IT.NET.BBND.P2,LUX,2025,
IT.NET.BBND.P2,LUX,2024,40.3174570156723
IT.NET.BBND.P2,LUX,2023,38.3793065082138
IT.NET.BBND.P2,LUX,2022,38.3269581349215
IT.NET.BBND.P2,LUX,2021,38.0399641403524
IT.NET.BBND.P2,LUX,2020,37.2960860898482
IT.NET.BBND.P2,LUX,2019,37.3611453762962
IT.NET.BBND.P2,LUX,2018,36.8853200372964
IT.NET.BBND.P2,LUX,2017,35.9768313229784
IT.NET.BBND.P2,LUX,2016,34.8068400324932
IT.NET.BBND.P2,LUX,2015,34.2910720305652
IT.NET.BBND.P2,LUX,2014,33.580271770101
IT.NET.BBND.P2,LUX,2013,32.4834270107517
IT.NET.BBND.P2,LUX,2012,31.9617588949556
IT.NET.BBND.P2,LUX,2011,32.7339447418355
IT.NET.BBND.P2,LUX,2010,33.1818450562661
IT.NET.BBND.P2,LUX,2009,31.3376302472766
IT.NET.BBND.P2,LUX,2008,29.2848524509704
IT.NET.BBND.P2,LVA,2025,
IT.NET.BBND.P2,LVA,2024,25.7542854181725
IT.NET.BBND.P2,LVA,2023,25.9948491178264
IT.NET.BBND.P2,LVA,2022,25.989241189689
IT.NET.BBND.P2,LVA,2021,25.9761549056076
IT.NET.BBND.P2,LVA,2020,25.804169430384
IT.NET.BBND.P2,LVA,2019,26.5858975490829
IT.NET.BBND.P2,LVA,2018,27.2877295355647
IT.NET.BBND.P2,LVA,2017,27.0886247975645
IT.NET.BBND.P2,LVA,2016,26.4893005276389
IT.NET.BBND.P2,LVA,2015,25.4568684345307
IT.NET.BBND.P2,LVA,2014,25.3240856124593
IT.NET.BBND.P2,LVA,2013,24.6397186303098
IT.NET.BBND.P2,LVA,2012,23.4018125136081
IT.NET.BBND.P2,LVA,2011,22.2055874415821
IT.NET.BBND.P2,LVA,2010,20.7297918659797
IT.NET.BBND.P2,LVA,2009,21.2280519111895
IT.NET.BBND.P2,LVA,2008,18.9239067993871
IT.NET.BBND.P2,MDA,2025,
IT.NET.BBND.P2,MDA,2024,29.6324400873685
IT.NET.BBND.P2,MDA,2023,27.3086365814931
IT.NET.BBND.P2,MDA,2022,26.317794331222
IT.NET.BBND.P2,MDA,2021,25.2112754309344
IT.NET.BBND.P2,MDA,2020,23.4268592640718
IT.NET.BBND.P2,MDA,2019,21.54270340639
IT.NET.BBND.P2,MDA,2018,19.7583973228257
IT.NET.BBND.P2,MDA,2017,18.2974964435539
IT.NET.BBND.P2,MDA,2016,17.2155177259579
IT.NET.BBND.P2,MDA,2015,16.2569619282762
IT.NET.BBND.P2,MDA,2014,15.2330041292856
IT.NET.BBND.P2,MDA,2013,13.7695240878002
IT.NET.BBND.P2,MDA,2012,12.0173397889983
IT.NET.BBND.P2,MDA,2011,10.0167937961344
IT.NET.BBND.P2,MDA,2010,7.4547521029782
IT.NET.BBND.P2,MDA,2009,5.06352851025711
IT.NET.BBND.P2,MDA,2008,3.04873337877139
IT.NET.BBND.P2,MLT,2025,
IT.NET.BBND.P2,MLT,2024,44.5068355303026
IT.NET.BBND.P2,MLT,2023,44.282454836797
IT.NET.BBND.P2,MLT,2022,43.4449972737186
IT.NET.BBND.P2,MLT,2021,42.1830899964911
IT.NET.BBND.P2,MLT,2020,41.1094408219109
IT.NET.BBND.P2,MLT,2019,40.1799549616579
IT.NET.BBND.P2,MLT,2018,39.5892751744889
IT.NET.BBND.P2,MLT,2017,38.7512769768028
IT.NET.BBND.P2,MLT,2016,37.6179796999137
IT.NET.BBND.P2,MLT,2015,36.6768468766082
IT.NET.BBND.P2,MLT,2014,34.8819867199098
IT.NET.BBND.P2,MLT,2013,33.3783014199957
IT.NET.BBND.P2,MLT,2012,31.8224330830663
IT.NET.BBND.P2,MLT,2011,30.3037011219232
IT.NET.BBND.P2,MLT,2010,29.7855677615811
IT.NET.BBND.P2,MLT,2009,27.0098266376739
IT.NET.BBND.P2,MLT,2008,23.440636419401
IT.NET.BBND.P2,NLD,2025,
IT.NET.BBND.P2,NLD,2024,42.9782483069868
IT.NET.BBND.P2,NLD,2023,43.2644444744139
IT.NET.BBND.P2,NLD,2022,43.5643185557355
IT.NET.BBND.P2,NLD,2021,42.9460563127039
IT.NET.BBND.P2,NLD,2020,42.6667277513049
IT.NET.BBND.P2,NLD,2019,42.5292659897442
IT.NET.BBND.P2,NLD,2018,42.5152457224727
IT.NET.BBND.P2,NLD,2017,42.0988982620643
IT.NET.BBND.P2,NLD,2016,41.9813942626003
