country,year,fixed_broad_price_usd,fixed_broad_price,fixed_broad_price_ppp,mobile_broad_price_usd,mobile_broad_price,mobile_broad_price_ppp,fixed_broadband_subs,fixed_broadband_subs_alt,internet_users_pct,int_bandwidth,int_bandwidth_alt,int_bandwidth_i994u,int_bandwidth_i994B,mobile_subs,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region,log_fixed_broadband_subs,log_internet_users_pct,log_int_bandwidth,log_mobile_subs,log_fixed_broad_price,log_fixed_broad_price_usd,log_fixed_broad_price_ppp,log_mobile_broad_price,log_gdp_per_capita,log_population,log_population_density,log_secure_internet_servers,eap,eu,log_price_x_eap,log_price_x_eu,log_fixed_broad_price_lag1,log_mobile_broad_price_lag1,time_trend,time_trend_sq,post_covid
IRL,2016,55.31,1.26,49.8,25.98,0.53,22.36,1360204.0,28.6147710435862,83.5,300000.0,63111.3517757325,75582.4572164462,206552.808403204,4875116.0,102.558386941167,100.0,73.6150838402534,77.5571365356445,5830.06944348211,1.22271661130947,64129.5571542383,64205.979777351,37992126178.0,8.92,0.11646501817107,80.82,4762722,65.4546867857241,69.1351720133546,1.72934794425964,1.17716,11725.2277164193,62.7229399123734,83.769853658811,EU,14.12314598164693,4.436751534363128,12.611541086966115,15.399654662126089,0.8153648132841944,4.030872139266527,3.927896354584436,0.4252677354043441,11.06867623999287,15.37633012146786,4.250424408772243,9.369583297122338,0,1,0.0,0.8153648132841944,0.8285518175661483,0.4252677354043441,6,36,0
IRL,2017,50.71,1.1,45.21,25.98,0.53,22.36,1398798.0,29.0794615926246,84.1140070623844,315000.0,65485.0121438317,77852.6840306915,206552.808403204,4898872.0,101.842124574945,100.0,70.7799987792969,77.7806167602539,5829.58480106972,10.1088576065965,72161.4047531385,69748.6221034014,35187488969.0,7.87,1.49398382531361,81.11,4827445,65.3844318826392,70.0746842792858,1.57530915737152,1.24866,38437.1028566871,62.9035196521232,84.5588861245849,EU,14.151124569272618,4.44399161736267,12.660331092405906,15.404515736626799,0.7419373447293773,3.94565118640813,3.833196224882175,0.4252677354043441,11.186674479474169,15.38982810730821,4.263731215448911,10.556804508502292,0,1,0.0,0.7419373447293773,0.8153648132841944,0.4252677354043441,7,49,0
IRL,2018,62.58,1.27,53.87,25.98,0.53,22.36,1430160.0,29.3513301848147,87.0001401148942,315000.0,65485.0121438317,77852.6840306915,206552.808403204,4971493.0,102.030494877842,100.0,75.2761545483232,77.2828826904297,5923.81986034362,7.68865937437435,80804.1123164826,74029.0550611436,36589471149.0,6.76,0.921717914808411,81.308,4898022,65.3471982002052,71.0991725939904,1.61936497688293,1.10698,69157.3047242336,63.0844503476779,84.9842796473127,EU,14.173297583311191,4.477338406691645,12.660331092405906,15.419230956522325,0.8197798314933114,4.152298955482657,4.004966751070884,0.4252677354043441,11.299795513751242,15.404342212277427,4.278042568413549,11.144153427123074,0,1,0.0,0.8197798314933114,0.7419373447293773,0.4252677354043441,8,64,0
IRL,2019,62.58,1.27,53.87,41.33,0.84,35.58,1462549.0,29.6453160652366,87.0000552425146,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5160309.0,104.597515228061,100.0,75.9404571887024,75.1799392700195,5926.10484248228,4.97288003766816,81827.6688873996,76485.635854651,39354392694.0,8.8,3.39701463997982,81.153,4976456,65.3435974647567,72.237712294963,1.59087955951691,1.16068,94607.6886844775,63.2737009154127,85.6014076857682,EU,14.195692045537939,4.477337442233857,12.660331092405906,15.456507213172543,0.8197798314933114,4.152298955482657,4.004966751070884,0.6097655716208942,11.312382936584767,15.420228750020055,4.293710483586119,11.457504597381291,0,1,0.0,0.8197798314933114,0.8197798314933114,0.4252677354043441,9,81,0
IRL,2020,74.84,1.46,67.75,39.7,0.78,35.93,1516473.0,30.4353384554187,91.99989097,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5234009.0,105.045612677382,100.0,77.577917817579,74.6803131103516,5951.88607682092,7.15369505735335,86514.0706108754,80927.936475395,43116907694.0,8.42,-2.06419100307969,80.606,5039747,65.3365964179592,73.1564377993903,1.4674471616745,1.14551,114566.465340423,63.4713366724915,85.478185364604,EU,14.23189846122262,4.5325983207869776,12.660331092405906,15.470688272655043,0.9001613499442714,4.328625857946767,4.230476736546681,0.5766133643039938,11.368073904459582,15.43286663879751,4.306176886115127,11.648919145403209,0,1,0.0,0.9001613499442714,0.8197798314933114,0.6097655716208942,10,100,1
IRL,2021,72.34,1.3,60.21,24.12,0.43,20.07,1576997.0,31.3616427884193,93.50610352,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5373865.0,106.86972424373,100.0,79.6562273497351,78.7776031494141,6106.1502743815,16.2581881158197,103783.446284479,92781.2322150786,49840175468.0,9.14,1.04875097676076,81.954,5110585,65.3403436125284,74.1847147626651,1.55254113674164,1.11065,113930.009969504,63.6774229356985,85.8346634216679,EU,14.271033597713553,4.548664419927241,12.660331092405906,15.49705813297509,0.8329091229351039,4.29510616264318,4.114310574862978,0.3576744442718159,11.550071395369551,15.446824632708688,4.319947949160677,11.643348368477797,0,1,0.0,0.8329091229351039,0.9001613499442714,0.5766133643039938,11,121,1
IRL,2022,80.9,1.46,75.06,21.29,0.38,19.76,1611509.0,31.5362809040128,95.03690338,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5652130.0,110.608851322579,100.0,80.3261086296084,76.6049499511719,6107.0403902981,7.51113888415304,105190.685952731,97793.5366671697,92158964502.0,8.59,8.00407718550366,83.201,5212836,65.3822772161846,75.6689795325882,1.63956081867218,0.96264,134764.070843587,63.8920250215059,85.9771370525843,EU,14.292682185617073,4.564732527809495,12.660331092405906,15.547543200154193,0.9001613499442714,4.405498990859024,4.331522502500114,0.3220834991691132,11.563539545295066,15.466634795277503,4.339497187616414,11.811288325512361,0,1,0.0,0.9001613499442714,0.8329091229351039,0.3576744442718159,12,144,1
IRL,2023,38.09,0.59,33.51,21.77,0.34,19.15,1657246.0,31.8907830651788,96.8660965,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5757780.0,110.798344311602,100.0,82.9957893963692,76.6049499511719,6144.73623270699,-2.53637409313261,106818.917130804,93541.9643678381,91363721988.0,8.59,3.39258154333999,82.42,5311538,65.4412571224043,77.1017273914937,1.74936389923096,0.96264,149934.162195583,64.1152082461268,85.9151734662122,EU,14.320668349874213,4.583600182101601,12.660331092405906,15.566062715391348,0.46373401623214006,3.6658666798048634,3.541249137109912,0.29266961396282004,11.578899678109936,15.485392181733848,4.3580121742898275,11.917958227601108,0,1,0.0,0.46373401623214006,0.9001613499442714,0.3220834991691132,13,169,1
IRL,2024,37.67,0.57,36.82,21.53,0.32,21.04,1697495.0,32.3023693358176,97.18769836,315000.0,65485.0121438317,77852.6840306915,206552.808403204,5919189.0,112.638817343502,100.0,82.9957893963692,76.6049499511719,6144.73623270699,2.59946721553708,112894.953240805,94474.9879707069,117636882485.0,8.59,4.53690860398667,82.85,5395790,65.5524363144366,77.1017273914937,1.74936389923096,0.96264,121467.84808156,64.3470379255585,86.5598250316762,EU,14.344664782005731,4.586880936230222,12.660331092405906,15.593710173174562,0.45107561936021656,3.6550641056192057,3.6328380632303117,0.27763173659827955,11.634221905746946,15.501129763165299,4.3580121742898275,11.707413114497626,0,1,0.0,0.45107561936021656,0.46373401623214006,0.29266961396282004,14,196,1
ITA,2010,26.23,0.84,24.28,7.09,0.25,7.69,13098028.0,21.7704634480966,53.68,2000000.0,33242.3528917431,61926.8869071221,153122.496925683,93666088.0,155.684057564253,100.0,45.5,65.3790435791016,5443.93561106348,1.52910573247101,35856.8625485539,31928.5543621096,29268480484.0,2.15,0.597839702916559,74.478,59819407,65.5049888211785,202.285308976795,0.894350588321686,1.21797,125.912314710843,68.2163741829857,74.7246789092948,EU,16.38797231883617,4.001498011855749,14.508658238524095,18.355246771351105,0.6097655716208942,3.3043193066856684,3.2300135692786567,0.22314355131420976,10.487318139932395,17.906840714761373,5.314610455243068,4.843496412650646,0,1,0.0,0.6097655716208942,,,0,0,0
