country,year,fixed_broad_price_i154_FBB_ts_GNI,series_code,series_name,series_units,variable
BGR,2012,1.65,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2013,1.82361,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2014,1.79467,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2015,1.58873,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2016,1.62,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2017,1.76429,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2018,1.62,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2019,1.62,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2020,1.73,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2021,1.70906,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2022,1.52484,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
BGR,2023,1.25,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2010,1.48,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2011,0.86,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2012,0.92,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2013,0.921315,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2014,0.96841,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2015,0.80953,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2016,0.82,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2017,0.914484,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2018,0.86,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2019,0.86,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2020,0.9,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2021,0.967407,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2022,0.895723,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
CYP,2023,1.33,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2010,1.06,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2011,1.02,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2012,0.99,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2013,1.01035,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2014,1.16799,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
DEU,2015,0.97637,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
