country,year,mobile_broad_price_i271mb_ts_GNI,series_code,series_name,series_units,variable
DNK,2023,0.36,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2013,1.31,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2014,1.19,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2015,0.59,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2016,0.608056,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2017,0.746285,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2018,0.29,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2019,0.33,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2020,0.31,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2021,0.300041,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2022,0.234437,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ESP,2023,0.21,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2013,0.65,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2014,0.62,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2015,0.52,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2016,0.542712,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2017,0.593987,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2018,0.68,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2019,0.81,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2020,0.38,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2021,0.235997,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2022,0.210675,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
EST,2023,0.18,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
