country,year,fixed_broad_price,fixed_broad_price_ppp,fixed_broad_price_usd,mobile_broad_price,mobile_broad_price_ppp,mobile_broad_price_usd,carry,s100,fixed_broadband_subs,internet_users_pct,population,gdp_per_capita,urban_population_pct,education_tertiary_pct,population_ages_15_64,gdp_growth,inflation_gdp_deflator,population_density,secure_internet_servers,research_development_expenditure,regulatory_quality_estimate,ntl_sum,imputed_controls,eap,region,y,y_count,p,p_usd,p_ppp,log_fixed_broad_price,log_mob_price,log_mobile_broad_price,log_gdp_per_capita,log_population_density,log_secure_internet_servers,log_internet_users_pct,log_ntl_pc,subreg,z_sub,z_nn,p_lag,y_lag,s_lag
GRC,2019,1.35,28.13,21.95,0.92,19.29,15.06,True,38.3565690069278,4111278.0,75.6712066931757,10721582,19335.3602002969,78.1888100466875,143.96272277832,63.5769463955355,2.27718065334808,0.245015781395267,83.1775174553918,6647.33991681452,1.26236,0.4186735,1701852.0,0,0.0,EU,3.646925804068452,15.229244487042935,0.30010459245033816,3.08876713952118,3.3368366225017656,0.30010459245033816,-0.08338160893905101,-0.08338160893905101,9.869690833311724,4.420977088418453,8.80197204111446,4.326397727363684,-1.8405416495329519,S,0.2670297077610336,0.1638785773355305,0.30010459245033816,3.6087625960598206,36.9203391643751
GRC,2020,1.45,33.39,23.89,0.47,10.94,7.83,False,39.7876360746134,4257026.0,78.11584474,10698599,17886.733165236,78.3066842455552,143.693344116211,63.4362736718399,-9.19623149726978,-0.363959702932064,82.999216446858,8907.70838312568,1.48872,0.4420625,1649090.0,0,0.0,EU,3.68355621263663,15.264081352379142,0.371563556432483,3.173459961337718,3.508256453955563,0.371563556432483,-0.7550225842780328,-0.7550225842780328,9.791814553077758,4.418831167352736,9.094672291326553,4.358192913861594,-1.8698891776951891,S,0.23444242634922322,0.11397722873736,0.30010459245033816,3.646925804068452,38.3565690069278
GRC,2021,2.74,55.96,42.41,0.66,13.53,10.25,False,41.9213046741732,4435090.0,78.49426371,10570130,20652.89659591,78.3884898647442,150.605484008789,63.1383476119661,8.65449786002131,1.39275644673982,82.0025601241272,11383.3983120359,1.43353,0.3962921,2031935.0,0,0.0,EU,3.7357941624810826,15.3050584666428,1.007957920399979,3.747384183486499,4.024637149797281,1.007957920399979,-0.4155154439616658,-0.4155154439616658,9.935610859540501,4.406750467802828,9.339911284546092,4.363025548360384,-1.6490435577502074,S,0.27678840571075825,0.12943487538816548,0.371563556432483,3.68355621263663,39.7876360746134
GRC,2022,1.88,42.62,28.64,0.59,13.47,9.05,False,42.923040428409,4469353.0,83.17066333,10437805,20884.6773436263,78.5502190980809,166.389556884766,62.9235782445681,5.52198580589408,6.28541243425478,80.9759891388673,13067.0193589553,1.47714,0.4212368,1968627.0,0,0.0,EU,3.759408754685214,15.312754213384205,0.6312717768418578,3.3548043420924447,3.752323626670471,0.6312717768418578,-0.527632742082372,-0.527632742082372,9.946771027619993,4.394152680343914,9.477846728502957,4.420894681440952,-1.6680979658573072,S,0.08223701715998731,-0.005417018097647922,1.007957920399979,3.7357941624810826,41.9213046741732
GRC,2023,1.65,42.85,29.29,0.52,13.54,9.25,False,43.8539621755853,4491921.0,85.0102229,10407351,23343.7103964562,78.7746303842088,165.113418579102,62.9301872607766,2.13591131996631,6.26971104079917,80.7397284716835,14227.2514879146,1.4943,0.5145808,2254741.0,0,0.0,EU,3.780865072218192,15.317791007864805,0.5007752879124892,3.377246160839642,3.7577056450437887,0.5007752879124892,-0.6539264674066639,-0.6539264674066639,10.058082864776438,4.391230752422899,9.562914523300627,4.442771518670296,-1.5294772729035342,S,0.14551920760729592,-0.09680059732281916,0.6312717768418578,3.759408754685214,42.923040428409
GRC,2024,1.59,47.7,30.04,0.53,15.99,10.07,False,44.6759828527928,4488961.0,86.26968886,10405134,24626.1481858973,78.9967856500534,165.113418579102,62.840827158816,2.0865743380603,3.20936406384638,80.72252909231963,15657.9434729048,1.4943,0.4796528,2577428.0,0,0.0,EU,3.799436060866008,15.317131829822564,0.4637340162321402,3.402529826895934,3.8649313978942956,0.4637340162321402,-0.6348782724359695,-0.6348782724359695,10.111564091791761,4.391017707223502,9.658733637351801,4.457478306498003,-1.3955073357123078,S,0.06989514156698587,-0.2173362767808921,0.5007752879124892,3.780865072218192,43.8539621755853
HRV,2010,1.59,22.44,18.24,,,,False,19.4799756808943,837862.0,56.55,4295427,13729.7472872883,55.2824979327886,57.0685997009277,66.8289063924947,-1.33616285467264,0.920955278990149,76.7533950396684,117.799697212873,0.72875,0.3131224,835039.0,0,0.0,EU,2.9693870497995594,13.638608688099046,0.4637340162321402,2.9036169846461855,3.110845080654496,0.4637340162321402,,,9.527320092714135,4.340597620533505,4.768985700865057,4.03512520256213,-1.637827817057581,SE,0.5543597160828706,0.4030219357658208,,,
HRV,2011,1.56,22.99,18.24,,,,False,20.8566154553422,892835.0,57.7899789891444,4280622,14691.591757962,55.2773793281248,59.3388595581055,66.9100271349628,-0.111527124990047,1.67118441203004,76.4888499749839,172.638462354303,0.73493,0.2745086,761319.0,0,0.0,EU,3.0376711859456145,13.702157072349745,0.44468582126144574,2.9036169846461855,3.1350593387750902,0.44468582126144574,,,9.595030619864282,4.337144978248646,5.151199594810655,4.056815386757107,-1.7268011498090827,SE,0.5406270576527707,0.407960308490094,0.4637340162321402,2.9693870497995594,19.4799756808943
HRV,2012,1.55,24.23,17.34,,,,False,21.581851768721,919222.0,61.9399731527956,4260368,13507.6349882758,55.3042888624873,62.0256614685059,66.8433180453821,-2.23702049605232,1.4097508285585,76.1269387463369,313.587934187845,0.73545,0.2064496,943369.0,0,0.0,EU,3.0718527656351733,13.7312829390858,0.4382549309311553,2.853015971352396,3.1875915348284343,0.4382549309311553,,,9.511010359247837,4.332402193637935,5.748079812569754,4.12616574110608,-1.5076533100672713,SE,0.4000344425158386,0.2972815532345679,0.44468582126144574,3.0376711859456145,20.8566154553422
HRV,2013,1.59,24.47,17.78,1.09,16.88,12.27,False,22.5042534905966,954720.0,66.7476,4233922,14135.0903485872,55.3659479687433,66.7111129760742,66.7137862494026,-0.132561080066893,0.738572400563456,75.6543849617611,398.920905959061,0.79163,0.2263801,815120.0,0,0.0,EU,3.1137043353703198,13.769173382755909,0.4637340162321402,2.8780742300857587,3.19744787745458,0.4637340162321402,0.08617769624105241,0.08617769624105241,9.556415661942227,4.326175402358376,5.9887631665605205,4.200918341577781,-1.6475486875633865,SE,0.43443181915088214,0.15635588806636022,0.4382549309311553,3.0718527656351733,21.581851768721
