geo,time,value
EU27_2020,2011,2.4
EU27_2020,2012,2.3
EU27_2020,2013,2.3
EU27_2020,2014,2.3
EU27_2020,2015,2.3
EU27_2020,2016,2.3
EU27_2020,2017,2.3
EU27_2020,2018,2.3
EU27_2020,2019,2.3
EU27_2020,2020,2.3
EU27_2020,2021,2.2
EU27_2020,2022,2.2
EU27_2020,2023,2.2
EU27_2020,2024,2.2
EU27_2020,2025,2.2
FI,2010,2.1
FI,2011,2.1
FI,2012,2.1
FI,2013,2.1
FI,2014,2.1
FI,2015,2.1
FI,2016,2.1
FI,2017,2.1
FI,2018,2.1
FI,2019,2.0
FI,2020,2.0
FI,2021,2.0
FI,2022,1.9
FI,2023,1.9
FI,2024,1.9
FI,2025,1.9
FR,2010,2.3
FR,2011,2.3
FR,2012,2.3
FR,2013,2.3
FR,2014,2.3
FR,2015,2.3
FR,2016,2.2
FR,2017,2.2
FR,2018,2.2
FR,2019,2.2
FR,2020,2.2
FR,2021,2.1
FR,2022,2.1
FR,2023,2.1
FR,2024,2.1
FR,2025,2.1
HR,2010,3.0
HR,2011,3.0
HR,2012,2.9
HR,2013,2.9
HR,2014,2.8
HR,2015,2.8
HR,2016,2.8
HR,2017,2.8
HR,2018,2.8
HR,2019,2.7
HR,2020,2.8
HR,2021,2.8
HR,2022,2.7
HR,2023,2.7
HR,2024,2.6
HR,2025,2.6
HU,2010,2.4
HU,2011,2.4
HU,2012,2.4
HU,2013,2.4
HU,2014,2.3
HU,2015,2.3
HU,2016,2.3
HU,2017,2.3
HU,2018,2.4
HU,2019,2.4
HU,2020,2.3
HU,2021,2.3
HU,2022,2.3
HU,2023,2.3
HU,2024,2.3
HU,2025,2.3
IE,2010,2.7
IE,2011,2.7
IE,2012,2.7
IE,2013,2.7
IE,2014,2.7
IE,2015,2.7
IE,2016,2.7
IE,2017,2.7
IE,2018,2.6
IE,2019,2.6
IE,2020,2.6
IE,2021,2.6
IE,2022,2.5
IE,2023,2.6
IE,2024,2.4
IE,2025,2.3
IT,2010,2.4
IT,2011,2.4
IT,2012,2.4
IT,2013,2.4
IT,2014,2.3
IT,2015,2.3
IT,2016,2.3
IT,2017,2.3
IT,2018,2.3
IT,2019,2.3
IT,2020,2.3
IT,2021,2.3
IT,2022,2.2
IT,2023,2.2
IT,2024,2.2
IT,2025,2.2
LT,2010,2.3
LT,2011,2.3
LT,2012,2.3
LT,2013,2.3
LT,2014,2.2
LT,2015,2.2
LT,2016,2.1
LT,2017,2.1
LT,2018,2.1
LT,2019,2.1
LT,2020,2.1
LT,2021,2.0
LT,2022,1.9
LT,2023,1.8
LT,2024,1.7
LT,2025,1.6
LU,2010,2.4
LU,2011,2.4
LU,2012,2.4
LU,2013,2.4
LU,2014,2.4
LU,2015,2.4
LU,2016,2.4
LU,2017,2.4
LU,2018,2.3
LU,2019,2.3
LU,2020,2.3
LU,2021,2.3
LU,2022,2.3
LU,2023,2.3
LU,2024,2.3
LU,2025,2.3
LV,2010,2.6
LV,2011,2.5
LV,2012,2.4
LV,2013,2.4
LV,2014,2.4
LV,2015,2.3
LV,2016,2.3
LV,2017,2.3
LV,2018,2.2
LV,2019,2.2
LV,2020,2.2
LV,2021,2.1
LV,2022,2.2
LV,2023,2.1
LV,2024,2.1
LV,2025,2.1
ME,2011,3.2
ME,2012,3.1
ME,2013,3.1
ME,2014,3.2
ME,2015,3.2
ME,2016,3.2
ME,2017,3.2
ME,2018,3.2
ME,2019,3.2
ME,2020,3.1
MK,2010,3.8
MK,2011,3.8
MK,2012,3.7
MK,2013,3.7
MK,2014,3.7
MK,2015,3.7
MK,2016,3.7
MK,2017,3.7
MK,2018,3.7
MK,2019,3.7
MK,2020,3.7
MK,2021,3.1
MK,2022,3.1
MK,2023,3.1
MK,2024,3.1
MK,2025,3.0
MT,2010,2.9
MT,2011,2.9
MT,2012,2.7
MT,2013,2.6
MT,2014,2.6
MT,2015,2.6
MT,2016,2.6
MT,2017,2.6
MT,2018,2.5
MT,2019,2.5
MT,2020,2.5
MT,2021,2.4
MT,2022,2.3
MT,2023,2.5
