country,year,fixed_broadband_subs_i4213tfbb,fixed_broadband_subs_i992b,fixed_broad_price_i154_FBB_ts$,fixed_broad_price_i154_FBB_ts_GNI,fixed_broad_price_i154_FBB_ts_PPP,internet_users_pct_i99H,int_bandwidth_i4214,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u,mobile_broad_price_i271mb_ts$,mobile_broad_price_i271mb_ts_GNI,mobile_broad_price_i271mb_ts_PPP,mobile_subs_i271,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region
AZE,2023,2154700.0,20.8825,7.65,1.27,24.34,89.0,2424060.0,234930.0,,263967.0,3.53,0.59,11.23,11111300.0,107.687,100.0,91.8099975585938,41.3907560278377,2366.9587760753,1.35447731755447,7133.02838048328,5668.61020477202,56810637.0,,-9.32261489254115,,10153958.0,69.64501196768,122.854906231095,-0.108809567987919,0.18178,549.736368813028,57.577,32.454421052763,EaP
BEL,2010,3373140.0,30.8426,24.85,0.63,20.93,77.6398,630647.0,57663.8,187883.0,74270.9,,,,12154000.0,111.132,100.0,61.7299995422363,66.8578872680664,8353.01561568143,2.71031150254662,44197.393671162,39991.5646206286,18062114104.0,2.03,1.70310444520605,76.849,10895586.0,65.9424518102042,359.199090099891,1.28281509876251,2.06188,401.814092422381,97.651,85.6393079438759,EU
BEL,2011,3543760.0,32.1032,25.18,0.64,21.5,81.61,787315.0,71323.6,223109.0,87395.7,,,,12495900.0,113.202,100.0,62.7599983215332,67.7034072875977,8081.88678944443,1.93115502411325,47760.8298776546,40236.9596308558,19710705572.0,1.72,2.29252172328242,76.003,11038264.0,65.771386607117,363.902812118814,1.23621690273285,2.17332,597.920107727085,97.698,85.698534275207,EU
BEL,2012,3692010.0,33.2388,32.07,0.82,27.95,80.72,856460.0,77106.3,232785.0,95523.2,,,,12313400.0,110.856,100.0,63.2099990844727,69.7490615844727,8001.57955410189,0.215803612089744,44874.1709182123,40074.492800399,18578043351.0,1.73,2.20573642403188,75.834,11106932.0,65.5288562215249,366.166617215574,1.22217035293579,2.28114,957.330070986299,97.744,85.6541570149269,EU
BEL,2013,3828920.0,34.3085,33.1341,0.84168,27.79,82.1702,920000.0,82435.2,240876.0,100323.0,26.54,0.67,22.27,12315200.0,110.349,100.0,64.2799987792969,71.7841110229492,7991.10562057643,0.305494549070232,46964.5946777056,40007.8997891411,23020452724.0,1.69,1.41248965471736,75.745,11159407.0,65.2910824069226,367.896581281113,1.28374707698822,2.33073,1260.55085185082,97.789,84.9206380611944,EU
BEL,2014,4011200.0,35.782,33.83,0.859036,28.84,85.0012,1040000.0,92773.3,259274.0,109143.0,26.52,0.67,22.61,12734700.0,113.6,100.0,64.0199966430664,74.0397262573242,7700.55857508798,1.76554038149924,47995.7786961339,40533.9135027898,26767838222.0,1.74,0.840395740063599,75.737,11209057.0,65.0395058250497,369.533412455082,1.15288519859314,2.37002,1610.03731179171,97.833,85.3866879062744,EU
BEL,2015,4121050.0,36.5492,30.5,0.774422,31.1,85.0529,1130000.0,100219.0,,117831.0,20.94,0.53,21.35,12774100.0,113.292,100.0,66.2099990844727,76.423942565918,7699.8838764201,1.47416433731927,40893.804537772,40893.804537772,22552909326.0,2.18,1.12183851916816,75.022,11274196.0,64.8430252778753,371.680875614018,1.27396082878113,2.42817,2038.46021481266,97.876,84.8209451544248,EU
BEL,2016,4270310.0,37.6813,30.42,0.82,31.75,86.5165,1290000.0,113830.0,,131570.0,22.1128,0.596167,23.0771,12550800.0,110.749,100.0,67.0800018310547,77.2435073852539,7753.83707358176,1.19350273007754,41854.5498296444,41172.8862831209,27175805685.0,2.02,1.89528913569444,75.054,11331422.0,64.6607620134318,373.567467774371,1.32856822013855,2.52338,3047.27862045911,97.919,85.1691937268172,EU
BEL,2017,4378970.0,38.4911,30.9895,0.889864,31.3432,87.6797,1350000.0,118665.0,,135339.0,16.9034,0.48538,17.0963,11357300.0,99.8304,100.0,69.1500015258789,80.7738189697266,7801.64987598414,1.47446761556785,44035.3239358548,41619.328629169,25235406983.0,1.95,1.98316343604859,75.717,11375158.0,64.4426328280277,375.009329772855,1.23354864120483,2.66666,8300.54404519041,97.961,85.5132233331247,EU
BEL,2018,4502950.0,39.4007,32.48,0.86,32.08,88.6473,,,,,17.71,0.47,17.5,11447400.0,100.164,100.0,70.0668254662657,79.1237487792969,7748.27877771471,1.87796847383565,47487.2100392561,42208.3625650272,28165595899.0,1.77,1.71728236623039,74.824,11427054.0,64.2447525310394,374.74351490506,1.25903940200806,2.86018,13973.2427973124,98.001,85.4218516220471,EU
