country,year,gdp_per_capita,gdp_per_capita_constant,gdp_growth,inflation_gdp_deflator,population,population_density,urban_population_pct,population_ages_15_64,education_tertiary_pct,education_secondary_pct,labor_force_advanced_education,secure_internet_servers,electric_power_consumption,access_to_electricity,regulatory_quality_estimate,high_tech_exports,ict_goods_exports,research_development_expenditure,wage_salaried_workers
GRC,2022,20971.8349258283,20595.4952639016,5.74364902526337,6.49582431023742,10436882.0,80.968828549263,80.357,62.9235782445681,166.665649414062,68.6307355962189,74.636,13068.1749587664,4827.78285698736,100.0,0.464378982782364,2860598783.0,2.82,1.48596,69.6564375980474
GRC,2023,23400.7278817691,21139.1917042145,2.33212444945818,5.87456208154305,10405588.0,80.7260512024826,80.673,62.9301872607766,165.113418579102,68.8763094608987,74.566,14229.661985464,4694.30463708538,100.0,0.578935325145721,3023255566.0,,,69.0475542655639
HRV,2010,13731.2865213989,11965.4854792127,-1.33408152400571,0.920113149429753,4295427.0,76.7533950396684,55.155,66.8289063924947,57.0685997009277,67.9429093406412,74.702,117.799697212873,3922.31086688238,100.0,0.489483296871185,817139883.0,2.1,0.73055,80.2323113674614
HRV,2011,14694.9993201417,11995.1325319122,-0.0977514527446601,1.66934505042573,4280622.0,76.4888499749839,55.322,66.9100271349628,59.3388595581055,70.7099990844727,72.422,172.638462354303,3900.60136120405,100.0,0.442892551422119,776020576.0,1.55,0.73646,80.3791150900499
HRV,2012,13508.6836989693,11780.5330067439,-2.25374558078583,1.41145606381943,4260368.0,76.1269387463369,55.506,66.8433180453821,62.0256614685059,71.4543554801919,73.213,313.587934187845,3825.72585279018,100.0,0.353815704584122,913351645.0,1.89,0.73725,81.2073754381336
HRV,2013,14136.3967669505,11839.2458156921,-0.125449826211494,0.73288886582057,4233922.0,75.6543849617611,55.706,66.7137862494026,66.7111129760742,72.7378831925185,72.628,398.920905959061,3773.56975400114,100.0,0.369632989168167,999788815.0,2.55,0.79513,82.3303176963064
HRV,2014,14187.9694531493,11863.8584044911,-0.5571501973061,0.126544520072585,4201598.0,75.0767993710242,55.923,66.4871658325589,68.6392517089844,73.2367342524235,74.659,505.045937283862,3746.90772415638,100.0,0.276575356721878,915598803.0,2.01,0.76902,82.8600199596691
HRV,2015,12285.3032582105,12285.3032582105,2.32317515803855,0.12437215819854,4151725.0,74.1856371953399,56.155,66.146261641978,68.4413986206055,73.9317184374003,73.409,643.587906231747,3947.75665536614,100.0,0.237562641501427,915727467.0,2.45,0.82378,82.7866699822128
HRV,2016,12821.1738140304,12849.34640034,3.46112947356767,0.0151130697192627,4106867.0,73.3840861982703,56.403,65.7635720154282,69.5889511108398,73.7981942734265,72.016,1752.91773510075,4028.61840911819,100.0,0.238647386431694,1336109796.0,2.7,0.84433,83.834641471697
HRV,2017,13902.6310485422,13485.8816667037,3.28095812140658,1.23163897621677,4041407.0,72.2144056893717,56.667,65.2937585801138,71.3775863647461,74.7702240518096,72.515,14908.4217451991,4249.01525632039,100.0,0.299445986747742,926522170.0,2.52,0.8415,84.3999118500748
HRV,2018,15460.4183295843,14060.7189510749,2.90468149344008,2.02559756591751,3988775.0,71.2739439639768,56.947,64.7650804945653,72.8625411987305,75.9294495069669,71.772,20040.4886211932,4310.8473152785,100.0,0.48981836438179,1011950033.0,2.33,0.94312,84.9086713531223
HRV,2019,15563.8167397199,14641.2298817935,3.10043911443758,1.98838183285723,3949390.0,70.5701879779859,57.242,64.2827891136582,74.0501174926758,76.7432110062647,71.458,23423.1109107989,4363.71186436386,100.0,0.552517652511597,952468476.0,2.33,1.07027,85.2485122789372
HRV,2020,14808.4620188819,13544.9715102628,-8.31164257884687,0.803359807884533,3914206.0,69.946497498213,57.553,63.8820518579105,74.738037109375,77.8751961615857,72.096,23114.2663416284,4164.06290317883,100.0,0.36231455206871,1084083418.0,2.46,1.22989,85.5890115343549
HRV,2021,17789.9304736722,15394.4707328085,12.6317003277712,2.08111752959877,3878981.0,69.3170300214439,57.878,63.519292362808,78.0067901611328,79.2693838869089,72.158,25479.3720309535,4506.59593331341,100.0,0.493546575307846,1330725251.0,2.14,1.23124,85.288550012378
HRV,2022,18466.0955472648,16616.3915356348,7.28793643206565,8.01280669780672,3855641.0,68.8999463902788,58.219,63.2143699032538,80.7626724243164,80.2918126045041,73.014,29826.9470627582,4475.52041281852,100.0,0.502549886703491,1736046687.0,1.6,1.40323,85.84251669092
HRV,2023,21865.4562838641,17147.1660226623,3.30254488086325,11.7403306343319,3859686.0,68.9722301644031,58.575,63.0460776224784,81.1775207519531,81.3520408036277,73.605,29421.5643448716,4484.04352063873,100.0,0.643900275230408,1738860511.0,,,86.4620713222757
HUN,2010,13189.8433874768,11287.3686666108,1.06795068152046,2.53120833175369,10000023.0,110.460874848117,68.911,68.8006623023243,60.7487602233887,75.6900024414062,74.916,167.699614290887,3876.49108407051,100.0,1.01445388793945,20245844000.0,25.59,1.12865,87.6832002555419
HUN,2011,14211.460557822,11536.3578996772,1.91670916599742,1.92745966857339,9971727.0,110.148315475533,69.358,68.7322393565328,59.9984893798828,76.6600036621094,75.341,217.815830698133,3898.82314267127,100.0,1.02754545211792,22847617000.0,21.58,1.17925,87.8559439390986
HUN,2012,12950.1594488143,11440.7622718825,-1.33948446518181,2.87712453550428,9920362.0,109.580934496852,69.678,68.5314900042081,60.6758003234863,77.629997253418,75.084,393.130815185978,3923.04232446356,100.0,0.982062160968781,17575545657.0,17.45,1.25423,88.2657999462309
HUN,2013,13739.4620151401,11729.5720798501,2.03216990678146,2.83480957212036,9872734.0,109.05483265216,69.953,68.2352317213276,57.2066802978516,78.4899978637695,74.686,516.472944576447,3900.43933119235,100.0,0.899946391582489,17134185796.0,14.77,1.3841,88.7241709889137
HUN,2014,14352.501883174,12287.3779441033,4.33435364113967,3.69012110404373,9833038.0,107.747512601359,70.227,67.8503265083229,52.8164901733398,74.120002746582,72.751,670.393015871595,3982.69588706969,100.0,0.747946262359619,15681730021.0,11.92,1.3446,88.6747136505033
HUN,2015,12782.9412577973,12782.9412577973,3.65981615406955,2.81115788673696,9797755.0,107.360891957046,70.5,67.4528577545496,50.0656509399414,75.0999984741211,72.854,930.825479918614,4118.39242765307,100.0,0.750261425971985,14668188045.0,11.62,1.33959,88.9919072993165
HUN,2016,13215.8605277789,13145.6559885563,2.43864141309342,1.32255007729512,9759755.0,106.944499232961,70.779,67.0502119558858,49.47705078125,76.0599975585938,73.608,4148.87463875886,4205.74082033822,100.0,0.590769052505493,15894221309.0,11.38,1.17987,89.1830251261286
HUN,2017,14736.1668157258,13734.2442804335,4.12418389451805,4.03729273738615,9726756.0,106.582905982906,71.062,66.6846693017279,49.910270690918,77.2879816467953,73.065,13712.8966738756,4352.6330875371,100.0,0.637029111385345,17001565128.0,11.42,1.31702,89.6649640817154
HUN,2018,16605.0570511887,14533.7783144312,5.60613813768876,4.84538395103071,9706964.0,106.366031119877,71.351,66.3242430335959,50.8998908996582,78.5578395041174,73.286,19379.9008629269,4435.78445330589,100.0,0.563642382621765,18051188622.0,11.34,1.50775,89.5834336808875
HUN,2019,17012.8598553199,15290.8085466331,5.07718495088933,4.75293653395626,9694824.0,106.233004602235,71.644,65.8474599647003,52.3610382080078,79.0355701722967,73.261,26447.1020825133,4495.49161490709,100.0,0.592322170734406,18443341363.0,12.82,1.47291,89.1721038685745
HUN,2020,16386.9308821258,14664.2971195385,-4.33872540024058,6.42661364413084,9670419.0,105.965581854043,71.942,65.3516634491369,54.6020393371582,80.0100021362305,72.065,33083.571663234,4494.94484158339,100.0,0.469366848468781,18196444682.0,13.09,1.59252,87.9557357665388
